time,voltage,voltage,current,current
0.000827,0.1320585,0.1320036,5.2801e-06,2.6406e-06
0.000828,0.1292803,0.1311498,5.246e-06,2.6043e-06
0.000829,0.1265021,0.130296,5.2118e-06,2.568e-06
0.00083,0.1237238,0.1294422,5.1777e-06,2.5317e-06
0.000831,0.1209456,0.1285884,5.1435e-06,2.4953e-06
0.000832,0.1181674,0.1277346,5.1094e-06,2.459e-06
0.000833,0.116387,0.1270649,5.0826e-06,2.4345e-06
0.000834,0.1150183,0.1264712,5.0588e-06,2.4149e-06
0.000835,0.1136497,0.1258775,5.0351e-06,2.3953e-06
0.000836,0.112281,0.1252838,5.0114e-06,2.3756e-06
0.000837,0.1109124,0.1246901,4.9876e-06,2.356e-06
0.000838,0.1095438,0.1240964,4.9639e-06,2.3364e-06
0.000839,0.1081751,0.1235027,4.9401e-06,2.3168e-06
0.00084,0.1068065,0.122909,4.9164e-06,2.2972e-06
0.000841,0.1054378,0.1223153,4.8926e-06,2.2775e-06
0.000842,0.1040692,0.1217216,4.8689e-06,2.2579e-06
0.000843,0.1027005,0.1211279,4.8451e-06,2.2383e-06
0.000844,0.1013319,0.1205342,4.8214e-06,2.2187e-06
0.000845,0.0999632,0.1199405,4.7976e-06,2.199e-06
0.000846,0.0985946,0.1193468,4.7739e-06,2.1794e-06
0.000847,0.0972259,0.1187531,4.7501e-06,2.1598e-06
0.000848,0.0958573,0.1181594,4.7264e-06,2.1402e-06
0.000849,0.0944887,0.1175657,4.7026e-06,2.1205e-06
0.00085,0.09312,0.116972,4.6789e-06,2.1009e-06
0.000851,0.0917514,0.1163783,4.6551e-06,2.0813e-06
0.000852,0.0903827,0.1157846,4.6314e-06,2.0617e-06
0.000853,0.0890141,0.1151909,4.6076e-06,2.042e-06
0.000854,0.0876454,0.1145972,4.5839e-06,2.0224e-06
0.000855,0.0862768,0.1140035,4.5601e-06,2.0028e-06
0.000856,0.0849081,0.1134098,4.5364e-06,1.9832e-06
0.000857,0.0835395,0.1128161,4.5126e-06,1.9636e-06
0.000858,0.0821708,0.1122224,4.4889e-06,1.9439e-06
0.000859,0.0808022,0.1116287,4.4651e-06,1.9243e-06
0.00086,0.0794335,0.111035,4.4414e-06,1.9047e-06
0.000861,0.0780649,0.1104413,4.4177e-06,1.8851e-06
0.000862,0.0766963,0.1098475,4.3939e-06,1.8654e-06
0.000863,0.0753276,0.1092538,4.3702e-06,1.8458e-06
0.000864,0.073959,0.1086601,4.3464e-06,1.8262e-06
0.000865,0.0725903,0.1080664,4.3227e-06,1.8066e-06
0.000866,0.0712217,0.1074727,4.2989e-06,1.7869e-06
0.000867,0.069853,0.106879,4.2752e-06,1.7673e-06
0.000868,0.0684844,0.1062853,4.2514e-06,1.7477e-06
0.000869,0.0671157,0.1056916,4.2277e-06,1.7281e-06
0.00087,0.0657471,0.1050979,4.2039e-06,1.7085e-06
0.000871,0.0643784,0.1045042,4.1802e-06,1.6888e-06
0.000872,0.0630098,0.1039105,4.1564e-06,1.6692e-06
0.000873,0.0616412,0.1033168,4.1327e-06,1.6496e-06
0.000874,0.0602725,0.1027231,4.1089e-06,1.63e-06
0.000875,0.0589039,0.1021294,4.0852e-06,1.6103e-06
0.000876,0.0575352,0.1015357,4.0614e-06,1.5907e-06
0.000877,0.0561666,0.100942,4.0377e-06,1.5711e-06
0.000878,0.0547979,0.1003483,4.0139e-06,1.5515e-06
0.000879,0.0534293,0.0997546,3.9902e-06,1.5318e-06
0.00088,0.0520606,0.0991609,3.9664e-06,1.5122e-06
0.000881,0.050692,0.0985672,3.9427e-06,1.4926e-06
0.000882,0.0493233,0.0979735,3.9189e-06,1.473e-06
0.000883,0.0479547,0.0973798,3.8952e-06,1.4533e-06
0.000884,0.0465861,0.0967861,3.8714e-06,1.4337e-06
0.000885,0.0457748,0.0963099,3.8524e-06,1.4208e-06
0.000886,0.0452622,0.0958967,3.8359e-06,1.4116e-06
0.000887,0.0447496,0.0954835,3.8193e-06,1.4023e-06
0.000888,0.044237,0.0950703,3.8028e-06,1.3931e-06
0.000889,0.0437244,0.0946571,3.7863e-06,1.3838e-06
0.00089,0.0432118,0.0942439,3.7698e-06,1.3746e-06
0.000891,0.0426992,0.0938307,3.7532e-06,1.3653e-06
0.000892,0.0421866,0.0934175,3.7367e-06,1.356e-06
0.000893,0.041674,0.0930043,3.7202e-06,1.3468e-06
0.000894,0.0411614,0.0925911,3.7036e-06,1.3375e-06
0.000895,0.0406488,0.0921779,3.6871e-06,1.3283e-06
0.000896,0.0401361,0.0917647,3.6706e-06,1.319e-06
0.000897,0.0396235,0.0913515,3.6541e-06,1.3098e-06
0.000898,0.0391109,0.0909383,3.6375e-06,1.3005e-06
0.000899,0.0385983,0.0905251,3.621e-06,1.2912e-06
0.0009,0.0380857,0.0901119,3.6045e-06,1.282e-06
0.000901,0.0375731,0.0896987,3.5879e-06,1.2727e-06
0.000902,0.0370605,0.0892855,3.5714e-06,1.2635e-06
0.000903,0.0365479,0.0888723,3.5549e-06,1.2542e-06
0.000904,0.0360353,0.0884591,3.5384e-06,1.2449e-06
0.000905,0.0355227,0.0880459,3.5218e-06,1.2357e-06
